,Historical VaR (95%),Expected Shortfall (95%),Maximum Drawdown,Maximum Rolling Volatility
Conservative,-0.01052071445658676,-0.015437665230887,-0.2506876388046246,0.32306994930652233
Balanced,-0.011562623600386958,-0.018586459968847776,-0.24895594107897662,0.44978950306178284
Growth,-0.018348262179950916,-0.029342747531414023,-0.30307050051940265,0.7070382788040305
