Date,Conservative,Balanced,Growth
2019-01-03,-0.0031800324193174403,-0.009997092652127768,-0.024742355014425302
2019-01-04,0.007150962111586383,0.015816191143127187,0.0336330503926695
2019-01-07,0.00266623846567042,0.004192200955302379,0.00881187610952112
2019-01-08,0.0021650828076403006,0.0045778124572428795,0.00801796849553278
2019-01-09,0.00252719328138634,0.00297650771488906,0.00578751964518504
2019-01-10,-0.0023397791118116604,-0.0004022120111338898,0.00219796132189764
2019-01-11,0.0020606984921961004,0.0015749953975165599,-0.0012844087349924399
2019-01-14,-0.0034525230806060807,-0.004538636406219689,-0.007230764812238349
2019-01-15,0.00277951158766754,0.00560882033042125,0.013982156327982581
2019-01-16,0.0020076830594136404,0.0020717322390031104,0.0009755245985748901
2019-01-17,0.0028728383445147006,0.0044960570348465,0.007001795854851201
2019-01-18,0.0014421878120044202,0.0055210400040240195,0.009750052413454361
2019-01-22,-0.0019836662745259396,-0.005718626922153899,-0.01474169866425638
2019-01-23,0.00039087729307516,0.0009908954652892,0.0014437267256164198
2019-01-24,0.00252560590266514,0.0021319487550486398,0.00410688959174912
2019-01-25,0.00439232119784464,0.00510178403197253,0.00887979196966391
2019-01-28,-0.0027384894186963005,-0.00450892741523567,-0.00931576334702667
2019-01-29,0.0026149893589828203,0.0012833531131226,-0.00474498452526081
2019-01-30,0.00718017064753688,0.00984799675462862,0.018976941528776332
2019-01-31,0.00704923791336066,0.00789763695990604,0.01185738183061226
2019-02-01,-0.0026239490940083605,-0.0017232706652552002,-0.00252252053337577
2019-02-04,0.00016091810242894013,0.0024481484642315796,0.00857852364506736
2019-02-05,0.0040199322153752,0.00414341376713532,0.00655749229798787
2019-02-06,-0.00168064932993246,-0.0013180055366322102,-0.0019687692881865796
2019-02-07,-0.0006831260593006001,-0.0034936950087294492,-0.009866799899854001
2019-02-08,0.0029556382861593406,0.00239325325080862,0.0018962725616881503
2019-02-11,-0.0023294358675498405,-0.00133511130079643,-0.0006449671892052101
2019-02-12,0.00454683435525238,0.007162781986240738,0.012282449614495951
2019-02-13,-0.0010060224613507602,0.00041745443393175,0.00127143788477708
2019-02-14,0.00251039612692162,0.0009376103795921702,0.00029648658818561
2019-02-15,0.006175893086541741,0.00760280250363671,0.006617517555194541
2019-02-19,0.00475358202615882,0.00332318774766933,0.00193502405810582
2019-02-20,-0.0006859875001442201,0.00017694641438318975,0.00043302099001124995
2019-02-21,-0.007258916107039021,-0.0059456172389431095,-0.0041450728798098
2019-02-22,0.00558267300761624,0.00586702282606604,0.00677571661419567
2019-02-25,-0.0008472794558345002,-0.00017540492812735995,0.0020702864920198903
2019-02-26,0.00202890281870722,0.0012233161677045,0.00072752788124169
2019-02-27,-0.0061208730347564405,-0.00436505069221873,-0.0016212950792671601
2019-02-28,-0.00322959004208074,-0.00270028635270944,-0.00223761650524277
2019-03-01,-0.0046031305731599,-0.0007282881267627701,0.00503768156720688
2019-03-04,0.0011548852691849805,-9.393076558766975e-05,-0.00058541425002111
2019-03-05,0.0005554866560899799,-5.713572129631005e-05,3.789780424429991e-05
2019-03-06,-0.0011349624059757604,-0.0026231297802515596,-0.00489157692229168
2019-03-07,-0.00091675305406238,-0.003156113906389419,-0.00883393678003353
2019-03-08,0.00307441006762084,0.0011586622192673,-0.00113682035922657
2019-03-11,0.00363903528869704,0.00732375985678152,0.0159031199675698
2019-03-12,0.0055243425659177,0.004972030170630499,0.004956983235532
2019-03-13,0.003292402619988,0.00410528037288049,0.00621575209452409
