,Annualized Return,Annualized Volatility,Sharpe Ratio,Beta,Treynor Ratio,Jensen's Alpha,Historical VaR (95%),Expected Shortfall (95%),Maximum Drawdown,Maximum Rolling Volatility,Sortino Ratio
Conservative,0.1050465325624226,0.1081040425099882,0.9717169693512282,0.3690709174512596,0.2846242486074381,0.0391608480996787,-0.0105207144565867,-0.015437665230887,-0.2506876388046246,0.3230699493065223,1.5874983320322618
Balanced,0.123237043670869,0.1260493512297537,0.9776888374954094,0.5726078226503768,0.2152206777414481,0.0210164228086907,-0.0115626236003869,-0.0185864599688477,-0.2489559410789766,0.4497895030617828,1.5615762130511321
Growth,0.1872847027772111,0.1959819769113828,0.9556220716249592,0.9617291402468516,0.1947374733068188,0.0155990465068332,-0.0183482621799509,-0.029342747531414,-0.3030705005194026,0.7070382788040305,1.5229155448836615
