Date,GLD,QQQ,SPY,TLT
2019-01-03,0.009066170423806419,-0.03267035414552455,-0.023862933658772678,0.01137976013963704
2019-01-04,-0.00808623590052937,0.042784462707479154,0.03349573775694714,-0.011575464793127765
2019-01-07,0.003458482876331992,0.011905794578218831,0.007884549440511757,-0.0029480758927324935
2019-01-08,-0.00270804061547536,0.009045596148972379,0.009395328995765562,-0.0026281294508121444
2019-01-09,0.006418158373500793,0.008149314876086278,0.004673469291501142,-0.0015646546943181017
2019-01-10,-0.005886691481276518,0.0028602682966045734,0.003527626062116207,-0.006433646544565241
2019-01-11,0.001727170986037363,-0.0036584066806548687,0.00038642972144642407,0.003901900024289251
2019-01-14,0.002380897199235621,-0.008836881104296812,-0.006101123545924181,-0.0037207750435080955
2019-01-15,-0.0017200351443329431,0.0195266911638321,0.011461082417080659,-0.003652689559285993
2019-01-16,0.003199863787636481,-0.00018473218508063827,0.0024197454478105396,0.0009997171857933917
2019-01-17,-0.001308546962521917,0.007884117558233816,0.007586407340455015,0.00024946107107526316
2019-01-18,-0.008926410300850951,0.009900407964901659,0.013310263826671553,-0.005241429298643241
2019-01-22,0.0035531343340227117,-0.020030289432353632,-0.013510352649547808,0.0067746026663138
2019-01-23,-0.0013997379433262624,0.0012965401975817414,0.0020921121124473085,-0.00041528123856493515
2019-01-24,-0.0015666428373899421,0.006475883724643472,0.0005313740227519403,0.006565646220752175
2019-01-25,0.01461726258147622,0.011948140054520273,0.008461614183866262,-0.0047887907828061405
2019-01-28,0.0034999210730881636,-0.012352065709436255,-0.007600213349680418,-0.000995335893568594
2019-01-29,0.005596580714432919,-0.009441489961037886,-0.0013271247365975736,0.005065650204691741
2019-01-30,0.005726722578225818,0.025437560602300513,0.01583074979749699,-0.0007433808087774496
2019-01-31,0.00048117377030232333,0.014968924903522085,0.008782621683042668,0.008599710831070029
2019-02-01,-0.002004008016032066,-0.00422216412355092,0.0004815094677272924,-0.0060400523221108005
2019-02-04,-0.004337356751223598,0.012421666093078487,0.007035497200946761,-0.004464020139503089
2019-02-05,0.002581475453272253,0.008847993340909355,0.004191794331321885,0.00456761552598306
2019-02-06,-0.006758902044908588,-0.002981896230721315,-0.0013178997720391106,0.0004956458250919837
2019-02-07,0.002430293392984062,-0.013429611969181243,-0.00953290748331137,0.006610061941178413
2019-02-08,0.0037982966608789415,0.001961771718017369,0.0012213379734453689,0.0042683263601404065
2019-02-11,-0.004911042708701019,-0.0009494318957540271,0.0005546484140777075,-0.003923014167361849
2019-02-12,0.002103577179937588,0.014786455716648161,0.012859512481243396,-0.002543997550004451
2019-02-13,-0.003956062177902009,0.0007018507912912586,0.003246791230608226,-0.0037843315954798618
2019-02-14,0.005592889654295163,0.0012280549771646054,-0.002217978577817803,0.0056978639896458905
2019-02-15,0.005964900110646543,0.004205136514563224,0.010897028116584107,0.0015602693354488384
2019-02-19,0.015224309695700766,0.001977533854671254,0.0017308451537443315,0.0025417820415063463
2019-02-20,-0.0017363346220005127,-0.0001742093857671767,0.0020150935881286802,-0.0028625133192715646
2019-02-21,-0.011306137470128319,-0.003657642848057141,-0.0035556677940137282,-0.008938665904660859
2019-02-22,0.0035985360836492397,0.007400340633011204,0.0061998773514151395,0.005957993961958286
2019-02-25,-0.0010358346885893654,0.0036441027107676494,0.0013613040018902733,-0.0029613140573396812
2019-02-26,0.001675034536747555,0.0010372339543720521,-0.0007153636720838019,0.004950261104335274
2019-02-27,-0.0070871108191714605,-0.0006334537554837372,-0.00042984301295345695,-0.011329766853362733
2019-02-28,-0.005613959130088775,-0.002304158283926827,-0.0018625783942494145,-0.0034037237017452426
2019-03-01,-0.017017506627186707,0.006928808175417744,0.006243826208964354,-0.009243334594895014
2019-03-04,-0.0026255308667169075,0.00017219320719341624,-0.0036374182554115286,0.007837080043069822
2019-03-05,0.0013162525939691694,0.0007449120582296853,-0.0013603426332101654,0.0020903057577170703
2019-03-06,-0.0009037184460104486,-0.005671675134153786,-0.00605643095682773,0.0036719910232283492
2019-03-07,-0.0008222882461903502,-0.012272031614820378,-0.008365542521263647,0.006485282035994855
2019-03-08,0.010945553273622899,-0.0015169275579460795,-0.002000116479122682,0.004212334729222
2019-03-11,-0.004884390198699684,0.02079794418166392,0.014501628973004665,-0.0029608620460622737
2019-03-12,0.006053709964792153,0.005494431118347576,0.0037706696750507973,0.007012157875124769
2019-03-13,0.006992949727453013,0.007512707273484187,0.006619304663594283,-0.001884065898360543
2019-03-14,-0.011547098821608426,-0.001694188693527221,-0.0006400442920108107,-0.007223160829011199
2019-03-15,0.004574769560006908,0.009280628520457856,0.004940724770672311,0.006614171519462753
2019-03-18,0.0005692420438265788,0.002381551461870135,0.0036258255707573017,-0.0005743924099272935
2019-03-19,0.002763299214570525,0.0033623473945898485,0.00024769750492592557,-0.0022190870720650846
2019-03-20,0.006484057947534483,0.003965291604000498,-0.003009819754185905,0.010460370515813278
2019-03-21,-0.004026413261163153,0.01563177487986578,0.011295308623150646,0.002200766531603504
2019-03-22,0.002344768069306058,-0.021963863236042824,-0.01924670879961421,0.015534599416903383
2019-03-25,0.007663119616744263,-0.00190433189049255,-0.0007519573391766565,0.0016019525372334975
2019-03-26,-0.004963137418149799,0.004657311406949027,0.007453722561582943,-0.0007199576253946738
2019-03-27,-0.005229296137734152,-0.006422940263679844,-0.005228930868216741,0.009202416636085564
2019-03-28,-0.014152850613865509,0.0023045984994150004,0.00379054177845628,0.0034886184031972522
2019-03-29,0.0009023839948698598,0.007571289826433736,0.006305610807876283,-0.0009481405376182694
2019-04-01,-0.003934131206699276,0.013247108826534237,0.011859057194642864,-0.014203938145164297
2019-04-02,0.0037028271386223555,0.0037903616468049073,0.0004900418365494374,0.0018492790284005967
