,Annualized Return,Annualized Volatility,Sharpe Ratio,Beta,Treynor Ratio,Jensen's Alpha
Conservative,0.1050465325624226,0.1081040425099882,0.9717169693512282,0.36907091745125964,0.2846242486074381,0.03916084809967879
Balanced,0.123237043670869,0.1260493512297537,0.9776888374954094,0.5726078226503768,0.2152206777414481,0.02101642280869076
Growth,0.1872847027772111,0.1959819769113828,0.9556220716249592,0.9617291402468516,0.19473747330681884,0.015599046506833247
